gene_id,D1,D3,Z3,Z1,Z2,MS1,D7,D9,ZH2,D4,D5,D6
ENSMUSG00000001661,1,3,0,3,8,3,0,0,0,0,1,0
ENSMUSG00000001663,626,592,232,401,157,336,341,468,399,352,295,341
ENSMUSG00000001665,1656,1380,755,1130,765,1101,941,1144,1236,825,832,883
ENSMUSG00000001666,294,298,163,269,187,190,299,298,304,300,189,200
ENSMUSG00000001670,877,952,324,525,450,1151,1038,1020,704,866,863,670
ENSMUSG00000001672,2673,2318,1061,1986,1184,1557,2082,2080,2120,1688,1787,1722
ENSMUSG00000001674,729,571,262,773,490,889,789,542,691,741,712,750
ENSMUSG00000001687,2582,2412,1167,2225,1639,2226,1807,1961,2219,1519,1748,1598
ENSMUSG00000001700,1655,1297,736,1245,1344,2672,1785,1022,1603,1360,1817,1483
ENSMUSG00000001707,470,332,146,333,291,325,320,365,301,419,344,423
ENSMUSG00000001729,6104,4733,2811,5736,3284,5247,5179,5652,5731,3624,5203,4407
ENSMUSG00000001739,6053,3052,2417,3206,3819,3031,4425,3531,3772,3149,3362,3276
ENSMUSG00000001741,34,29,19,6,0,8,8,12,28,20,24,17
ENSMUSG00000001750,2960,1922,2000,1362,1209,1555,1658,2322,2052,1442,1409,1420
ENSMUSG00000001751,1065,920,467,1005,481,979,745,679,820,581,679,639
ENSMUSG00000001755,1002,948,445,824,744,871,924,813,980,886,833,921
ENSMUSG00000001761,877,685,579,884,724,948,569,580,883,625,807,708
ENSMUSG00000001763,708,678,464,757,246,422,249,344,428,200,279,251
ENSMUSG00000001767,719,659,330,723,793,806,787,612,715,783,695,692
ENSMUSG00000001768,1885,1735,840,1945,1619,1826,1261,1404,1561,1297,1464,1432
ENSMUSG00000001773,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001774,1596,852,531,982,1245,763,801,946,821,960,829,806
ENSMUSG00000001783,4067,3753,2103,3441,2828,3404,3553,3460,3562,3308,3059,3157
ENSMUSG00000001785,664,506,248,633,476,799,630,524,617,701,613,628
ENSMUSG00000001786,585,488,341,497,365,552,452,439,437,331,430,397
ENSMUSG00000001794,8634,6911,4376,6413,4062,6873,6085,7327,6679,4674,5747,5693
ENSMUSG00000001802,9,17,8,5,0,3,6,5,7,2,4,3
ENSMUSG00000001804,0,4,0,2,0,3,4,1,0,1,1,0
ENSMUSG00000001815,86,99,37,68,20,85,41,65,57,43,84,33
ENSMUSG00000001819,2368,2251,746,1823,310,1598,954,1584,1280,805,1286,912
ENSMUSG00000001823,96,88,20,87,0,66,37,88,40,32,70,53
ENSMUSG00000001827,15,6,13,13,0,7,6,4,5,5,2,2
ENSMUSG00000001829,1034,876,459,1083,481,830,860,714,891,711,689,663
