gene_id,MP1,MP2
ENSMUSG00000041870,3971,2356
ENSMUSG00000090035,4817,1508
ENSMUSG00000022890,4467,1851
ENSMUSG00000020865,3955,2345
ENSMUSG00000038260,3312,2986
ENSMUSG00000001750,3630,2666
ENSMUSG00000037916,4006,2287
ENSMUSG00000047187,4349,1914
ENSMUSG00000047281,4929,1333
ENSMUSG00000037822,4374,1884
ENSMUSG00000029865,4383,1862
ENSMUSG00000027184,4384,1857
ENSMUSG00000031604,4625,1599
ENSMUSG00000002250,3741,2475
ENSMUSG00000068328,3142,3069
ENSMUSG00000000628,5047,1159
ENSMUSG00000020153,4166,2039
ENSMUSG00000047180,4715,1487
ENSMUSG00000031007,4824,1371
ENSMUSG00000001729,4032,2160
ENSMUSG00000014769,4338,1849
ENSMUSG00000032038,4420,1756
ENSMUSG00000057738,4130,2043
ENSMUSG00000041560,3130,3025
ENSMUSG00000054169,4320,1831
ENSMUSG00000020358,4511,1631
ENSMUSG00000020089,4153,1985
ENSMUSG00000026260,3521,2612
ENSMUSG00000060586,4395,1738
ENSMUSG00000037894,4315,1806
ENSMUSG00000023092,4633,1483
ENSMUSG00000074604,4199,1909
ENSMUSG00000029106,3976,2132
ENSMUSG00000028249,4673,1431
ENSMUSG00000017781,4453,1647
ENSMUSG00000038717,4140,1954
ENSMUSG00000079339,4442,1651
ENSMUSG00000020163,3566,2526
ENSMUSG00000035027,3382,2710
ENSMUSG00000020821,3981,2105
ENSMUSG00000019132,4074,1996
ENSMUSG00000022895,4250,1815
ENSMUSG00000031311,4143,1921
ENSMUSG00000022185,3652,2399
ENSMUSG00000028413,4775,1274
ENSMUSG00000002329,3689,2341
ENSMUSG00000020062,4084,1943
ENSMUSG00000060600,4010,2012
ENSMUSG00000046447,4412,1606
ENSMUSG00000024503,4339,1675
ENSMUSG00000071203,4164,1849
ENSMUSG00000028656,4303,1702
ENSMUSG00000079111,4156,1847
ENSMUSG00000025283,4680,1320
ENSMUSG00000040462,4052,1933
ENSMUSG00000028670,3906,2075
ENSMUSG00000023232,4404,1574
ENSMUSG00000032528,4252,1726
ENSMUSG00000050390,4270,1706
ENSMUSG00000028798,3434,2537
ENSMUSG00000010277,4249,1698
ENSMUSG00000042625,3683,2257
ENSMUSG00000030711,1210,4730
ENSMUSG00000020758,3909,2018
